Instrument,SpreadCost
AARTIIND,0
ABB,0
ACC,0
ADANIENT,0
ADANIPORTS,0
AMBUJACEM,0
APOLLOHOSP,0
APOLLOTYRE,0
ASHOKLEY,0
ASIANPAINT,0
ASTRAL,0
AUROPHARMA,0
AXISBANK,0
BAJAJ-AUTO,0
BAJAJFINSV,0
BAJFINANCE,0
BALKRISIND,0
BANKBARODA,0
BATAINDIA,0
BERGEPAINT,0
BHARATFORG,0
BHARTIARTL,0
BIOCON,0
BPCL,0
BRITANNIA,0
BSOFT,0
CANBK,0
CANFINHOME,0
CHOLAFIN,0
CIPLA,0
COFORGE,0
COLPAL,0
CONCOR,0
COROMANDEL,0
CUB,0
CUMMINSIND,0
DABUR,0
DELTACORP,0
DIVISLAB,0
DRREDDY,0
EICHERMOT,0
FEDERALBNK,0
GAIL,0
GLENMARK,0
GODREJCP,0
GODREJPROP,0
GRANULES,0
GRASIM,0
HAVELLS,0
HCLTECH,0
HDFCBANK,0
HEROMOTOCO,0
HINDALCO,0
HINDCOPPER,0
HINDPETRO,0
HINDUNILVR,0
ICICIBANK,0
INDHOTEL,0
INDIACEM,0
INFY,0
ITC,0
JINDALSTEL,0
JSWSTEEL,0
KOTAKBANK,0
LICHSGFIN,0
LT,0
LUPIN,0
M&M,0
M&MFIN,0
MARICO,0
MFSL,0
MPHASIS,0
MUTHOOTFIN,0
NAUKRI,0
NMDC,0
OBEROIRLTY,0
ONGC,0
PEL,0
PERSISTENT,0
PETRONET,0
PFC,0
PIDILITIND,0
PIIND,0
RAMCOCEM,0
RECLTD,0
RELIANCE,0
SBIN,0
SIEMENS,0
SRF,0
SUNPHARMA,0
SUNTV,0
TATACHEM,0
TATACOMM,0
TATACONSUM,0
TATAMOTORS,0
TATAPOWER,0
TATASTEEL,0
TCS,0
TECHM,0
TITAN,0
TORNTPHARM,0
TRENT,0
TVSMOTOR,0
UBL,0
ULTRACEMCO,0
UPL,0
VEDL,0
VOLTAS,0
WIPRO,0
ZEEL,0
ZYDUSLIFE,0
